Gene	Day0_1	Day0_2	Pre-treat_1	Pre-treat_2	Pre-treat_3	Pre-treat_4	Doxy_1	Doxy_2	Doxy_3	Doxy_4	Nodrug_1	Nodrug_2	Nodrug_3	INH_1	INH_2	INH_3	INH_4	RIF_1	RIF_2	RIF_3	RIF_4	PZA_1	PZA_2	HRZE_1	HRZE_2	HRZE_3	HRZE_4
Rv1699.pyrG	2680	47	2928	4630	3069	3949	376	220	1558	1530	539	751	1145	1832	1706	2095	1964	4233	3865	3566	3473	3362	153	1941	3643	2535	1712
Rv1711.Rv1711	134	3	628	577	1510	772	40	71	141	102	435	668	421	221	149	181	67	858	734	554	614	512	188	107	395	139	200
Rv1712.cmk	16599	4058	12713	13572	14495	12277	14325	30260	17608	14362	3379	2184	6666	6215	9856	6574	6032	6313	5457	4147	6117	9242	10108	7719	10457	10958	3734
Rv1783.Rv1783	12	6	210	128	76	43	19	37	36	12	36	200	179	29	275	103	10	762	451	917	250	2		1		119	32
Rv1796.mycP5	9751	301	11902	13260	12474	11636	5427	2561	7142	7810	5937	6219	4904	5821	7839	5499	4435	10803	9160	9702	9437	18020	16619	6535	7353	12194	6900
Rv1797.Rv1797	99	24	103	193	109	90	28	27	33	26	1205	2478	971	506	452	147	95	5657	5525	5850	5000	44	71	7	7	7	46
Rv1822.pgsA2	21131	9410	4246	6433	8242	6702	9374	8027	14256	13322	18852	14195	18812	15332	13445	12329	13644	12689	15075	10747	12327	11942	6858	2894	6142	2755	14463
Rv1826.gcvH		5				2	8	6	2			4	2	1	1	1		5			1						3
Rv1828.Rv1828	3562	69	3563	3085	2767	2221	1043	610	2177	1765	2087	1867	1280	2228	3873	1979	1586	3762	4134	2943	3752	1250	2	1327	5549	2518	2073
Rv1832.gcvB	4327	109	3746	5569	4941	5953	2705	3191	9020	7104	8066	6482	5237	6442	8447	7781	6310	10603	10285	9877	11062	21798	9453	2696	5491	3797	5231
Rv1836c.Rv1836c	2192	866	877	1136	863	542	380	342	724	629	458	300	1070	1944	3468	3951	2927	909	1291	461	631	39	3	753	926	1626	1139
Rv1837c.Ptb21-glcB	1													1					2								
Rv1845c.blaR			6												43												
Rv1854c.ndh	3402	167	3972	5465	6835	5819	1035	1022	2737	6957	2811	2711	3366	4414	3974	1147	2481	4140	4670	4067	4471	15229	1	2568	5418	5248	3494
Rv2006.otsB1	8015	357	11137	13401	12449	10396	5812	4191	9435	14276	4611	5687	6752	7054	8575	6458	5028	8790	13357	9041	10709	7915	15112	9573	14868	11218	9950
Rv2017.Rv2017		1	2		2	2	3	8	1	1	5		1								1						9
Rv2050.Rv2050			4	4		5		1					1	2	7			18	28	20	6					1	2
Rv2051c.ppm1	281	4	615	457	478	636	118	121	320	332	605	425	459	530	210	202	259	1434	1066	1232	1208	1477	1959	279	327	216	489
Rv2093c.tatC		8			96	216	76	8		7		32						2		55						34	
Rv2138.IppL	6346	304	11383	12259	15924	14086	3235	2843	8200	6433	5401	5121	4965	4471	9641	5472	5372	8012	6228	7656	7459	20800	16255	5143	6956	8918	5525
Rv2139.pyrD	383	11	185	346	198	249	253	268	348	338	2678	3998	2207	2459	2038	1575	1764	8688	7933	7762	7800	1249	3767	23	35	35	162
Rv2145c.wag31	2387	1	2473	3556	3948	3463	102	70	679	964	734	921	561	1597	2064	871	755	1577	1365	1663	1559	1787	2891	1494	3356	1495	1678
Rv2154c.FtsW	34	30	24	52	50	47	1398	109	22	31	171	142	264	73	55	23	16	24	26	18	118	62	25	1	41	21	160
Rv2155c.murD			1	1	1			3	2	2		3	1					2									
Rv2156c.mraY	366	3	284	322	672	449		8	18	13	4	28	3	119	143	6	119	148	126	176	100	1	2	51	324	144	40
Rv2158c.murE	6	13	8	11	6	2	38	64	3	4	27	168	98	200	66	56	52	1501	1953	894	555	11	8			2	14
Rv2172c.Rv2172c	26765	3382	13685	15463	19576	13620	6683	6753	9738	13620	4884	3382	14104	16678	22055	13628	15641	17212	12705	10947	13755	30260	9791	1954	3242	4026	8660
Rv2174.mptA	6208	162	5661	8635	8004	7040	4351	2929	8682	7869	5463	5602	7898	13590	14714	11566	10770	14084	13251	16732	15425	13080	20377	5827	17083	7449	9701
Rv2178c.aroG	1		4		1	2	3	4	1		1			1	1				2	13	2	1					3
Rv2182c.Rv2182c	5287	92	4429	6291	4527	5167	1115	228	2447	2222	2120	4530	4916	5802	6942	3469	4396	8246	9546	9078	10399	7777	6218	1734	6836	2637	7055
Rv2190c.Rv2190c	2545	239	2198	3483	2445	2986	4605	4580	4118	3820	3860	3125	2039	2512	2622	2109	1756	1642	2392	2144	2674	2262	3471	4518	8652	4279	5160
Rv2194.qcrC	6738	600	9323	9772	11418	10898	4045	3895	9167	7933	4494	6115	5900	6857	6827	6896	6034	9871	7530	7535	8955	11005	9457	6948	15882	7237	9378
